Pupil's Name,Date of Birth,This Year's Birthday,Month,Cake Needed On,BDs per Weekday and Month
Blinny Upwood,3/15/2013,3/15/2021,March,Monday,13
Carmine Budd,5/3/2012,5/3/2021,May,Monday,15
Walker Capron,8/30/2015,8/30/2021,August,Monday,15
Hollyanne Tomaszewicz,5/3/2014,5/3/2021,May,Monday,15
Johna Kordova,11/29/2012,11/29/2021,November,Monday,12
Brit Craze,12/29/2012,12/29/2021,December,Wednesday,20
Babs Swaysland,4/21/2013,4/21/2021,April,Wednesday,11
Ronica Proppers,3/7/2015,3/7/2021,March,Friday,28
Sasha Corsor,8/9/2013,8/9/2021,August,Monday,15
Grethel Husset,8/7/2015,8/7/2021,August,Friday,27
Lotta Ucceli,6/17/2015,6/17/2021,June,Thursday,10
Gerrie Bonehill,11/5/2012,11/5/2021,November,Friday,38
Buckie Ezzle,8/29/2015,8/29/2021,August,Friday,27
Kizzie Columbine,6/30/2012,6/30/2021,June,Wednesday,12
Bobbie Cobbing,9/28/2012,9/28/2021,September,Tuesday,7
Dasha Traite,4/8/2014,4/8/2021,April,Thursday,21
Janetta Dressell,8/26/2015,8/26/2021,August,Thursday,9
Randall Barnfield,2/5/2012,2/5/2021,February,Friday,36
Vonni Mullin,3/21/2013,3/21/2021,March,Friday,28
Reg Watting,2/19/2012,2/19/2021,February,Friday,36
Stanley Monks,1/15/2012,1/15/2021,January,Friday,41
Cori Oolahan,11/25/2012,11/25/2021,November,Thursday,12
Killian Cater,1/23/2015,1/23/2021,January,Friday,41
Angil Grundy,12/24/2011,12/24/2021,December,Friday,51
Winston Coltan,7/29/2013,7/29/2021,July,Thursday,14
Elianora Killshaw,4/7/2014,4/7/2021,April,Wednesday,11
Elsa Yakutin,7/3/2012,7/3/2021,July,Friday,46
Melodie Maine,10/15/2011,10/15/2021,October,Friday,35
Gena Hollyman,1/14/2013,1/14/2021,January,Thursday,6
Vallie Beetles,5/21/2015,5/21/2021,May,Friday,32
Jada Lindenman,9/4/2014,9/4/2021,September,Friday,29
Consolata Augur,9/9/2013,9/9/2021,September,Thursday,14
Gail Farnish,11/6/2012,11/6/2021,November,Friday,38
Jdavie Chard,7/20/2013,7/20/2021,July,Tuesday,19
Hartwell Drakeley,1/21/2014,1/21/2021,January,Thursday,6
Tanitansy Lowther,12/4/2012,12/4/2021,December,Friday,51
Cherie Himsworth,12/2/2011,12/2/2021,December,Thursday,14
Pail Weadick,4/21/2015,4/21/2021,April,Wednesday,11
Ivy Bridgen,3/6/2012,3/6/2021,March,Friday,28
Porty Lowdiane,1/31/2015,1/31/2021,January,Friday,41
Emylee Shawel,5/2/2014,5/2/2021,May,Friday,32
Hayward MacKellen,4/29/2014,4/29/2021,April,Thursday,21
Charita Mabee,8/27/2013,8/27/2021,August,Friday,27
Lelah Huyghe,10/16/2011,10/16/2021,October,Friday,35
Audre Balsdon,10/16/2012,10/16/2021,October,Friday,35
Melesa Carillo,7/23/2013,7/23/2021,July,Friday,46
Penny Nertney,4/24/2012,4/24/2021,April,Friday,44
Devan Soppett,7/16/2015,7/16/2021,July,Friday,46
Philippe Plume,8/16/2013,8/16/2021,August,Monday,15
Hunt Zamboniari,12/1/2013,12/1/2021,December,Wednesday,20
Ralina O'Lunny,5/29/2014,5/29/2021,May,Friday,32
Marianne Doig,11/8/2011,11/8/2021,November,Monday,12
Hildegaard Loveredge,2/3/2012,2/3/2021,February,Wednesday,12
Renee Ingray,7/26/2012,7/26/2021,July,Monday,12
Stevana Baddiley,2/16/2015,2/16/2021,February,Tuesday,8
Rafaelita Punshon,11/9/2011,11/9/2021,November,Tuesday,17
Dacie Harnetty,3/24/2012,3/24/2021,March,Wednesday,19
Davidde Linch,1/22/2015,1/22/2021,January,Friday,41
Helsa Parham,5/4/2014,5/4/2021,May,Tuesday,8
Gustave Pickervance,11/3/2012,11/3/2021,November,Wednesday,13
Stearn Quilleash,9/18/2011,9/18/2021,September,Friday,29
Bernhard Pakes,4/9/2013,4/9/2021,April,Friday,44
Zebadiah Nudde,11/9/2011,11/9/2021,November,Tuesday,17
Edgardo Bickell,3/31/2014,3/31/2021,March,Wednesday,19
Alane Biddiss,7/29/2012,7/29/2021,July,Thursday,14
Marylynne Hinckesman,10/10/2014,10/10/2021,October,Friday,35
Leslie Hann,5/24/2013,5/24/2021,May,Monday,15
Johna Degue,2/17/2012,2/17/2021,February,Wednesday,12
Leupold Paladino,4/30/2014,4/30/2021,April,Friday,44
Adham Purrier,5/17/2012,5/17/2021,May,Monday,15
Adlai Trippitt,8/22/2013,8/22/2021,August,Friday,27
Anthony Paolazzi,12/17/2013,12/17/2021,December,Friday,51
Muhammad Daysh,4/14/2015,4/14/2021,April,Wednesday,11
Reyna Dudson,4/27/2015,4/27/2021,April,Tuesday,12
Olivia Elsay,6/29/2014,6/29/2021,June,Tuesday,15
Rica Greensitt,8/21/2013,8/21/2021,August,Friday,27
Puff Wattam,6/29/2013,6/29/2021,June,Tuesday,15
Claudina Biasetti,2/20/2014,2/20/2021,February,Friday,36
Terrance Sibary,6/4/2015,6/4/2021,June,Friday,29
Celinka Skey,9/23/2014,9/23/2021,September,Thursday,14
Dew Bartlett,11/23/2014,11/23/2021,November,Tuesday,17
Gaye Dallison,5/26/2015,5/26/2021,May,Wednesday,12
Terry Lillow,8/10/2013,8/10/2021,August,Tuesday,10
Shel Vice,1/23/2015,1/23/2021,January,Friday,41
Drucy Greet,10/18/2011,10/18/2021,October,Monday,9
Ingelbert Sessuns,7/14/2013,7/14/2021,July,Wednesday,12
Zak Lillee,8/26/2013,8/26/2021,August,Thursday,9
Mirilla Davidow,11/21/2014,11/21/2021,November,Friday,38
Buiron Crauford,3/18/2012,3/18/2021,March,Thursday,11
Gizela Oke,4/30/2015,4/30/2021,April,Friday,44
Candace Glowacz,1/3/2015,1/3/2021,January,Friday,41
Rockey Center,1/30/2014,1/30/2021,January,Friday,41
Lannie Bessey,2/6/2012,2/6/2021,February,Friday,36
Blanche Edling,11/2/2012,11/2/2021,November,Tuesday,17
Yevette Crimpe,4/15/2015,4/15/2021,April,Thursday,21
Kimmy Brody,3/13/2012,3/13/2021,March,Friday,28
Burnaby Gosby,9/9/2013,9/9/2021,September,Thursday,14
Bearnard Swainston,1/11/2013,1/11/2021,January,Monday,12
Chrissie Torrans,8/2/2014,8/2/2021,August,Monday,15
Marc Bailey,9/28/2014,9/28/2021,September,Tuesday,7
Merl Pudner,10/3/2014,10/3/2021,October,Friday,35
Ivar Noddings,5/5/2013,5/5/2021,May,Wednesday,12
Maryjo Dewicke,2/9/2012,2/9/2021,February,Tuesday,8
Kippar Lambrecht,6/24/2012,6/24/2021,June,Thursday,10
Donielle Selwyne,3/3/2015,3/3/2021,March,Wednesday,19
Kerstin Escreet,10/28/2013,10/28/2021,October,Thursday,11
Theresina Woolnough,9/19/2014,9/19/2021,September,Friday,29
Marie Antuk,8/11/2015,8/11/2021,August,Wednesday,10
Dolorita Borrows,11/20/2011,11/20/2021,November,Friday,38
Cass Seivertsen,3/1/2015,3/1/2021,March,Monday,13
Trumaine Goncalo,1/9/2012,1/9/2021,January,Friday,41
Frank Mersh,9/4/2014,9/4/2021,September,Friday,29
Magdalene Treend,10/20/2011,10/20/2021,October,Wednesday,14
Blanca Arnaez,4/27/2015,4/27/2021,April,Tuesday,12
Shirline Saben,2/7/2012,2/7/2021,February,Friday,36
Grace Fernie,6/20/2014,6/20/2021,June,Friday,29
Theda Ryam,6/15/2013,6/15/2021,June,Tuesday,15
Ginny Sebyer,12/22/2014,12/22/2021,December,Wednesday,20
Jesse Worsall,4/24/2015,4/24/2021,April,Friday,44
Sammy Ferrarotti,7/23/2013,7/23/2021,July,Friday,46
Alta Ianittello,1/3/2013,1/3/2021,January,Friday,41
Joye Sleit,7/29/2013,7/29/2021,July,Thursday,14
Hanny Cullity,7/1/2015,7/1/2021,July,Thursday,14
Fair Brandi,6/14/2012,6/14/2021,June,Monday,11
Derry Crowest,8/2/2015,8/2/2021,August,Monday,15
Sasha Tukesby,5/19/2013,5/19/2021,May,Wednesday,12
Jeffry De Blasio,6/9/2012,6/9/2021,June,Wednesday,12
Mildrid Blurton,7/4/2013,7/4/2021,July,Friday,46
Benedetto Staker,9/11/2012,9/11/2021,September,Friday,29
Yalonda Cranch,4/8/2015,4/8/2021,April,Thursday,21
Andeee Dorrity,7/25/2015,7/25/2021,July,Friday,46
Aron Cosslett,7/16/2013,7/16/2021,July,Friday,46
Agretha Ivanchikov,9/23/2011,9/23/2021,September,Thursday,14
Desirae Tondeur,7/15/2014,7/15/2021,July,Thursday,14
De witt Moorton,6/6/2014,6/6/2021,June,Friday,29
Etti Ehlerding,11/23/2012,11/23/2021,November,Tuesday,17
Stavros Rhead,11/20/2014,11/20/2021,November,Friday,38
Ansley Took,8/17/2015,8/17/2021,August,Tuesday,10
Langston Janjic,1/6/2014,1/6/2021,January,Wednesday,6
Yasmin Jinkins,9/4/2011,9/4/2021,September,Friday,29
Corry Lassells,11/24/2011,11/24/2021,November,Wednesday,13
Kareem Shieldon,4/11/2012,4/11/2021,April,Friday,44
Blair Troyes,12/19/2013,12/19/2021,December,Friday,51
Ivy Briscam,1/7/2014,1/7/2021,January,Thursday,6
Billie Keyte,4/10/2013,4/10/2021,April,Friday,44
Rhodie Lissimore,1/9/2012,1/9/2021,January,Friday,41
Jeannie Clausen-Thue,12/17/2012,12/17/2021,December,Friday,51
Lonnard Stivey,5/2/2014,5/2/2021,May,Friday,32
Jany Batcock,9/13/2012,9/13/2021,September,Monday,12
Demetris Aslett,7/23/2013,7/23/2021,July,Friday,46
Tammy Elcombe,7/13/2013,7/13/2021,July,Tuesday,19
Eddy O'Gaven,8/26/2013,8/26/2021,August,Thursday,9
Stacee Martine,9/6/2013,9/6/2021,September,Monday,12
Vivyanne Aughtie,6/23/2013,6/23/2021,June,Wednesday,12
Flinn Tollfree,3/12/2013,3/12/2021,March,Friday,28
Indira Verna,6/24/2012,6/24/2021,June,Thursday,10
Maximilianus Hannam,12/11/2012,12/11/2021,December,Friday,51
Galvan Pioch,12/4/2013,12/4/2021,December,Friday,51
Margi Sentance,4/26/2015,4/26/2021,April,Monday,4
Ches Thornebarrow,1/14/2014,1/14/2021,January,Thursday,6
Evelin Myott,8/2/2015,8/2/2021,August,Monday,15
Emmalyn Piegrome,12/18/2014,12/18/2021,December,Friday,51
Lindy Wallman,11/27/2012,11/27/2021,November,Friday,38
Kori Feavers,12/7/2011,12/7/2021,December,Tuesday,9
Gussy Dowdell,7/8/2014,7/8/2021,July,Thursday,14
Merci Tutsell,12/1/2014,12/1/2021,December,Wednesday,20
Kameko Sherer,8/4/2012,8/4/2021,August,Wednesday,10
Amye Barwis,6/5/2012,6/5/2021,June,Friday,29
Louisa McRamsey,8/23/2015,8/23/2021,August,Monday,15
Aveline Peggram,1/18/2015,1/18/2021,January,Monday,12
Valerie MacDonagh,7/4/2014,7/4/2021,July,Friday,46
Ileana Paolicchi,6/3/2012,6/3/2021,June,Thursday,10
Warden McDonnell,12/23/2013,12/23/2021,December,Thursday,14
Cristi Hargrove,8/16/2012,8/16/2021,August,Monday,15
Warde Fullwood,10/19/2011,10/19/2021,October,Tuesday,13
Tristan Parman,12/18/2012,12/18/2021,December,Friday,51
Patience Turfin,3/23/2012,3/23/2021,March,Tuesday,6
Melva Bradburn,7/1/2014,7/1/2021,July,Thursday,14
Robinett Kingaby,2/27/2015,2/27/2021,February,Friday,36
Jennee Portch,4/1/2012,4/1/2021,April,Thursday,21
Tomi Murrison,5/11/2015,5/11/2021,May,Tuesday,8
Freddi Phillps,11/10/2011,11/10/2021,November,Wednesday,13
Hagan Rawne,10/4/2014,10/4/2021,October,Monday,9
Frieda Peart,3/2/2012,3/2/2021,March,Tuesday,6
Lucien Crean,12/8/2013,12/8/2021,December,Wednesday,20
Gilemette Vezey,3/12/2013,3/12/2021,March,Friday,28
Janith Amburgy,4/17/2013,4/17/2021,April,Friday,44
Cross Oleksinski,1/14/2015,1/14/2021,January,Thursday,6
Krystle Davage,7/27/2012,7/27/2021,July,Tuesday,19
Doria Oulet,7/28/2014,7/28/2021,July,Wednesday,12
Normie Cleave,3/20/2015,3/20/2021,March,Friday,28
Waly Tomet,2/9/2014,2/9/2021,February,Tuesday,8
Wadsworth Gores,12/20/2011,12/20/2021,December,Monday,8
Kyrstin Liebermann,12/8/2011,12/8/2021,December,Wednesday,20
Deni Baudin,11/3/2011,11/3/2021,November,Wednesday,13
Ceciley Kubicki,7/28/2015,7/28/2021,July,Wednesday,12
Jordanna Siley,4/22/2013,4/22/2021,April,Thursday,21
Bobbette Whiteley,2/7/2013,2/7/2021,February,Friday,36
Peyton Addekin,5/11/2013,5/11/2021,May,Tuesday,8
Lief Barajaz,2/19/2012,2/19/2021,February,Friday,36
Esmaria Tawn,7/20/2013,7/20/2021,July,Tuesday,19
Suzanne Guiso,6/4/2013,6/4/2021,June,Friday,29
Korella Lavelle,5/12/2013,5/12/2021,May,Wednesday,12
Harold Heminsley,10/16/2012,10/16/2021,October,Friday,35
Minnaminnie Vaneev,5/26/2014,5/26/2021,May,Wednesday,12
Amitie Elvy,10/6/2013,10/6/2021,October,Wednesday,14
Markus Madill,8/21/2014,8/21/2021,August,Friday,27
Carmon Phear,1/9/2013,1/9/2021,January,Friday,41
Freddie Eldered,6/25/2015,6/25/2021,June,Friday,29
Vallie Payton,10/8/2012,10/8/2021,October,Friday,35
Rafaello Shelp,12/25/2014,12/25/2021,December,Friday,51
Elana Dupree,4/9/2012,4/9/2021,April,Friday,44
Davita Reder,7/21/2013,7/21/2021,July,Wednesday,12
Zedekiah Anstie,9/8/2011,9/8/2021,September,Wednesday,14
Cassie Margaritelli,9/20/2011,9/20/2021,September,Monday,12
Sinclair Blacklock,5/5/2015,5/5/2021,May,Wednesday,12
Farrell Nise,1/8/2013,1/8/2021,January,Friday,41
Georgena Richings,5/22/2015,5/22/2021,May,Friday,32
Kahlil Buie,9/28/2012,9/28/2021,September,Tuesday,7
Drusi Beckenham,4/14/2012,4/14/2021,April,Wednesday,11
Bogey Andresen,1/23/2012,1/23/2021,January,Friday,41
Jobi Dreossi,4/15/2015,4/15/2021,April,Thursday,21
Isacco Holston,6/28/2012,6/28/2021,June,Monday,11
Andris Somerbell,3/27/2015,3/27/2021,March,Friday,28
Casey Kelshaw,2/24/2015,2/24/2021,February,Wednesday,12
Dru Lorryman,8/15/2012,8/15/2021,August,Friday,27
Gothart Duigan,2/19/2014,2/19/2021,February,Friday,36
Jarred Aggas,1/14/2014,1/14/2021,January,Thursday,6
Emili Matyja,1/5/2013,1/5/2021,January,Tuesday,14
Sherilyn Jilkes,3/22/2012,3/22/2021,March,Monday,13
Jacklin Scoyne,1/29/2015,1/29/2021,January,Friday,41
Kip Bannell,10/18/2012,10/18/2021,October,Monday,9
Miles Pavitt,7/27/2015,7/27/2021,July,Tuesday,19
Hedvig Abbot,3/20/2014,3/20/2021,March,Friday,28
Melisa Fibbens,3/31/2015,3/31/2021,March,Wednesday,19
Jecho Ebbrell,11/2/2014,11/2/2021,November,Tuesday,17
Barris Traves,11/18/2013,11/18/2021,November,Thursday,12
Norrie Kencott,7/25/2012,7/25/2021,July,Friday,46
Randell Gummow,8/1/2013,8/1/2021,August,Friday,27
Robby Scrivener,11/19/2014,11/19/2021,November,Friday,38
Gonzales Blanchard,6/4/2013,6/4/2021,June,Friday,29
Marcela Gath,11/5/2011,11/5/2021,November,Friday,38
Meryl Laytham,11/22/2012,11/22/2021,November,Monday,12
Jacinda Gelderd,5/12/2015,5/12/2021,May,Wednesday,12
Ilyssa Fortie,5/21/2015,5/21/2021,May,Friday,32
Pascale Casini,5/14/2013,5/14/2021,May,Friday,32
Katlin Maulden,2/19/2013,2/19/2021,February,Friday,36
Perkin Caughey,10/16/2012,10/16/2021,October,Friday,35
Leopold Banton,7/21/2012,7/21/2021,July,Wednesday,12
Brittaney Cumberpatch,8/24/2013,8/24/2021,August,Tuesday,10
Glynda Lidierth,1/23/2015,1/23/2021,January,Friday,41
Lukas Gallon,12/12/2011,12/12/2021,December,Friday,51
Massimo Bedminster,4/13/2014,4/13/2021,April,Tuesday,12
Franciska Betonia,7/11/2012,7/11/2021,July,Friday,46
Kathrine Ducastel,5/10/2012,5/10/2021,May,Monday,15
Jaymee Mannakee,10/2/2012,10/2/2021,October,Friday,35
Cam Riccardini,2/1/2015,2/1/2021,February,Monday,13
Jamima Cossor,11/5/2013,11/5/2021,November,Friday,38
Red Braybrook,5/12/2012,5/12/2021,May,Wednesday,12
Agnese Wahlberg,7/18/2013,7/18/2021,July,Friday,46
Erasmus Simmers,12/29/2014,12/29/2021,December,Wednesday,20
Amye Berni,10/3/2014,10/3/2021,October,Friday,35
Korney Perring,9/23/2013,9/23/2021,September,Thursday,14
Tiphany Yepiskov,6/27/2015,6/27/2021,June,Friday,29
Jeannette Kocher,7/7/2013,7/7/2021,July,Wednesday,12
Brig Tremontana,3/1/2014,3/1/2021,March,Monday,13
Hiram Birkenshaw,7/3/2013,7/3/2021,July,Friday,46
Louis Gabbatiss,2/22/2012,2/22/2021,February,Monday,13
Christoforo Gillon,2/14/2012,2/14/2021,February,Friday,36
Tatum Daughton,4/8/2015,4/8/2021,April,Thursday,21
Amberly Wones,7/22/2013,7/22/2021,July,Thursday,14
Suzanna Richardeau,5/7/2013,5/7/2021,May,Friday,32
Jamima Heed,9/10/2011,9/10/2021,September,Friday,29
Sandy Helks,4/2/2013,4/2/2021,April,Friday,44
Gabbi Dowdell,6/22/2013,6/22/2021,June,Tuesday,15
Faustine Trimmell,12/22/2013,12/22/2021,December,Wednesday,20
Keelia McBoyle,3/21/2015,3/21/2021,March,Friday,28
Wanids Jaffrey,7/12/2013,7/12/2021,July,Monday,12
Flint Donlon,3/10/2015,3/10/2021,March,Wednesday,19
Emile Sprules,2/18/2014,2/18/2021,February,Thursday,7
Ferne Poure,5/21/2015,5/21/2021,May,Friday,32
Antoine Haycox,9/14/2014,9/14/2021,September,Tuesday,7
Henka Tartt,5/31/2014,5/31/2021,May,Monday,15
Glennis Eastlake,10/25/2012,10/25/2021,October,Monday,9
Norris Denness,7/13/2014,7/13/2021,July,Tuesday,19
Michele Keford,3/15/2015,3/15/2021,March,Monday,13
Chere Vinson,3/4/2013,3/4/2021,March,Thursday,11
Natalie Swynfen,10/6/2013,10/6/2021,October,Wednesday,14
Zane Slaght,12/15/2011,12/15/2021,December,Wednesday,20
Penni Nobriga,5/27/2014,5/27/2021,May,Thursday,6
Deb Martina,3/22/2013,3/22/2021,March,Monday,13
Alix McGonnell,10/20/2012,10/20/2021,October,Wednesday,14
Poppy Denniston,11/12/2012,11/12/2021,November,Friday,38
Dino Behr,12/20/2012,12/20/2021,December,Monday,8
Nikolai Paynton,4/6/2015,4/6/2021,April,Tuesday,12
Kalindi Abella,12/5/2011,12/5/2021,December,Friday,51
Lina Jedrzejczyk,9/13/2014,9/13/2021,September,Monday,12
Darrick Shellard,3/27/2013,3/27/2021,March,Friday,28
Eunice Brazur,1/16/2012,1/16/2021,January,Friday,41
Livvyy Vasquez,9/15/2011,9/15/2021,September,Wednesday,14
Hyacintha Figgen,6/2/2012,6/2/2021,June,Wednesday,12
Reggis Daniello,10/16/2014,10/16/2021,October,Friday,35
Braden Berrane,4/30/2015,4/30/2021,April,Friday,44
Gil Wyrall,12/13/2011,12/13/2021,December,Monday,8
Emylee Yurygyn,4/24/2014,4/24/2021,April,Friday,44
Rori Colvill,4/8/2014,4/8/2021,April,Thursday,21
Margot Ibbitson,2/24/2015,2/24/2021,February,Wednesday,12
Brenden Greengrass,11/20/2012,11/20/2021,November,Friday,38
Pepi Marte,12/30/2013,12/30/2021,December,Thursday,14
Lindi Veare,8/27/2014,8/27/2021,August,Friday,27
Randi Slucock,8/16/2015,8/16/2021,August,Monday,15
Tate Guitton,7/9/2014,7/9/2021,July,Friday,46
Farris Queree,11/11/2013,11/11/2021,November,Thursday,12
Janina Goulstone,6/20/2012,6/20/2021,June,Friday,29
Samara McCuaig,9/6/2012,9/6/2021,September,Monday,12
Austin Sangwin,7/7/2014,7/7/2021,July,Wednesday,12
Jasmina Langforth,4/3/2012,4/3/2021,April,Friday,44
Marve Geaney,4/15/2014,4/15/2021,April,Thursday,21
Alyda Drinkel,8/22/2012,8/22/2021,August,Friday,27
Karry McLean,10/5/2011,10/5/2021,October,Tuesday,13
Jorgan Beggan,2/28/2015,2/28/2021,February,Friday,36
Ned Mathouse,11/12/2013,11/12/2021,November,Friday,38
Harrietta Chumley,1/20/2012,1/20/2021,January,Wednesday,6
Florida Forestall,11/2/2012,11/2/2021,November,Tuesday,17
Dodie Potteril,10/5/2011,10/5/2021,October,Tuesday,13
Lacey Addeycott,8/28/2013,8/28/2021,August,Friday,27
Yoshiko Cona,12/23/2011,12/23/2021,December,Thursday,14
Maggi Readwood,2/7/2014,2/7/2021,February,Friday,36
Davon Regglar,12/27/2012,12/27/2021,December,Monday,8
Laird Dainty,6/27/2015,6/27/2021,June,Friday,29
Melvin Halfhyde,5/12/2012,5/12/2021,May,Wednesday,12
Emlen Dumingo,11/19/2014,11/19/2021,November,Friday,38
Aliza Tarbett,4/6/2014,4/6/2021,April,Tuesday,12
Rosalynd Henrion,1/26/2013,1/26/2021,January,Tuesday,14
Agata Martyn,11/23/2013,11/23/2021,November,Tuesday,17
Basia Oswal,7/6/2015,7/6/2021,July,Tuesday,19
Trumaine Beggs,8/31/2012,8/31/2021,August,Tuesday,10
Loreen MacCauley,6/7/2015,6/7/2021,June,Monday,11
Lynea Zorzi,1/24/2013,1/24/2021,January,Friday,41
Hans Bolstridge,11/29/2012,11/29/2021,November,Monday,12
Irvine Roycroft,8/11/2013,8/11/2021,August,Wednesday,10
Thorstein Valente,3/11/2014,3/11/2021,March,Thursday,11
Rosemonde Grovier,4/7/2015,4/7/2021,April,Wednesday,11
Pepe Elsey,12/4/2014,12/4/2021,December,Friday,51
Nick Jurzyk,12/26/2014,12/26/2021,December,Friday,51
Katharina Joscelyne,4/17/2014,4/17/2021,April,Friday,44
Skip Geipel,9/25/2014,9/25/2021,September,Friday,29
Parrnell Penrith,9/4/2011,9/4/2021,September,Friday,29
Reggis Ferandez,3/18/2014,3/18/2021,March,Thursday,11
Valentine Bischof,6/28/2014,6/28/2021,June,Monday,11
Adah Townson,5/2/2013,5/2/2021,May,Friday,32
Andy Yosifov,6/15/2015,6/15/2021,June,Tuesday,15
Tracey Milham,1/2/2015,1/2/2021,January,Friday,41
Tammie Meynell,4/10/2014,4/10/2021,April,Friday,44
Haywood Tithecote,10/28/2013,10/28/2021,October,Thursday,11
Caye Gove,8/13/2013,8/13/2021,August,Friday,27
Armstrong Nutman,1/5/2012,1/5/2021,January,Tuesday,14
Mariska Bront,9/20/2013,9/20/2021,September,Monday,12
Shina Ivanin,7/5/2013,7/5/2021,July,Monday,12
Vance Bissiker,6/26/2013,6/26/2021,June,Friday,29
Ebenezer Tussaine,2/28/2015,2/28/2021,February,Friday,36
Findley Enriques,1/17/2014,1/17/2021,January,Friday,41
Rosamond Belshaw,2/6/2014,2/6/2021,February,Friday,36
Barclay Fieldgate,4/30/2012,4/30/2021,April,Friday,44
Tammie O' Connell,12/29/2011,12/29/2021,December,Wednesday,20
Jami Plunket,7/16/2014,7/16/2021,July,Friday,46
Stacee Spinetti,4/20/2015,4/20/2021,April,Tuesday,12
Correna Segrave,7/9/2013,7/9/2021,July,Friday,46
Gil Hele,5/3/2012,5/3/2021,May,Monday,15
Isaiah Doig,11/1/2013,11/1/2021,November,Monday,12
Davidson Quodling,6/19/2014,6/19/2021,June,Friday,29
Saul Swaby,7/28/2014,7/28/2021,July,Wednesday,12
Melanie Glassard,8/22/2013,8/22/2021,August,Friday,27
Sharity Galland,1/16/2012,1/16/2021,January,Friday,41
Antoine Lillgard,5/10/2014,5/10/2021,May,Monday,15
Dorotea Wadesworth,9/12/2011,9/12/2021,September,Friday,29
Kimberlee Ciani,10/24/2014,10/24/2021,October,Friday,35
Pauline Dorsey,3/3/2015,3/3/2021,March,Wednesday,19
Bettina Forward,7/7/2015,7/7/2021,July,Wednesday,12
Mike Ginnelly,10/30/2011,10/30/2021,October,Friday,35
Conroy Hatcliffe,6/18/2012,6/18/2021,June,Friday,29
Cecil Gavaghan,1/12/2013,1/12/2021,January,Tuesday,14
Filippa Pattingson,11/4/2014,11/4/2021,November,Thursday,12
Janene Harford,2/27/2012,2/27/2021,February,Friday,36
Carri Livings,7/27/2012,7/27/2021,July,Tuesday,19
Mitzi Kleinhandler,10/19/2013,10/19/2021,October,Tuesday,13
Shaine Matas,10/16/2012,10/16/2021,October,Friday,35
Fraze Tutin,9/2/2013,9/2/2021,September,Thursday,14
Nola Mallett,6/10/2015,6/10/2021,June,Thursday,10
Hardy Burford,4/5/2014,4/5/2021,April,Monday,4
Sarine Pedlingham,9/16/2013,9/16/2021,September,Thursday,14
Bary Amyes,7/20/2013,7/20/2021,July,Tuesday,19
Berthe Sheerman,9/29/2013,9/29/2021,September,Wednesday,14
Charisse Divina,10/21/2014,10/21/2021,October,Thursday,11
Calla Emms,7/22/2013,7/22/2021,July,Thursday,14
West Breheny,4/25/2015,4/25/2021,April,Friday,44
Patsy Piner,9/29/2013,9/29/2021,September,Wednesday,14
Fairleigh Janusz,2/28/2012,2/28/2021,February,Friday,36
Rodrick Lepere,9/19/2012,9/19/2021,September,Friday,29
Kissie Burkert,7/28/2015,7/28/2021,July,Wednesday,12
Alanson Joost,7/10/2015,7/10/2021,July,Friday,46
Shelly Deares,7/17/2014,7/17/2021,July,Friday,46
Angy Moseby,2/27/2012,2/27/2021,February,Friday,36
Corabel Triggol,2/5/2015,2/5/2021,February,Friday,36
Jose Kennan,9/23/2011,9/23/2021,September,Thursday,14
Ferd Dey,4/5/2015,4/5/2021,April,Monday,4
Katlin Bumphrey,2/28/2012,2/28/2021,February,Friday,36
Dana Gauld,7/15/2014,7/15/2021,July,Thursday,14
Alys McReidy,10/21/2011,10/21/2021,October,Thursday,11
Maure Kenwell,10/20/2012,10/20/2021,October,Wednesday,14
Virgie Roark,8/12/2015,8/12/2021,August,Thursday,9
Jacklin Biggerstaff,5/30/2015,5/30/2021,May,Friday,32
Wade Fautly,9/28/2014,9/28/2021,September,Tuesday,7
Loydie Capewell,4/6/2014,4/6/2021,April,Tuesday,12
Emmalynn Sankey,6/11/2014,6/11/2021,June,Friday,29
Shannon Gerring,8/30/2013,8/30/2021,August,Monday,15
Denna Cornewall,10/17/2011,10/17/2021,October,Friday,35
Meyer Barca,7/13/2014,7/13/2021,July,Tuesday,19
Goldia Macklin,1/17/2013,1/17/2021,January,Friday,41
Curry Dawbery,4/25/2013,4/25/2021,April,Friday,44
Heidi Elderkin,11/16/2012,11/16/2021,November,Tuesday,17
Peggie Derrett,6/29/2012,6/29/2021,June,Tuesday,15
Ingunna Hauck,1/26/2015,1/26/2021,January,Tuesday,14
Emmott Gosson,2/1/2012,2/1/2021,February,Monday,13
Guinna O'Currine,2/7/2015,2/7/2021,February,Friday,36
Haleigh Causier,5/31/2012,5/31/2021,May,Monday,15
Karel Hovenden,10/6/2014,10/6/2021,October,Wednesday,14
Ragnar Heathcott,2/3/2015,2/3/2021,February,Wednesday,12
Axe Gleder,5/3/2014,5/3/2021,May,Monday,15
Poul Frane,4/11/2012,4/11/2021,April,Friday,44
Jerry Pelerin,11/17/2011,11/17/2021,November,Wednesday,13
Gayler Littledike,12/8/2013,12/8/2021,December,Wednesday,20
Bartlett Chilvers,8/22/2015,8/22/2021,August,Friday,27
Harwell Munnings,12/25/2013,12/25/2021,December,Friday,51
Russell Constantine,11/14/2012,11/14/2021,November,Friday,38
Zulema Ludlom,1/25/2015,1/25/2021,January,Monday,12
